title,current price,original price,rating,reviews,off percentage
"Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) LOQ 15IAX9D1 Gaming Laptop  (15.6 inch, Luna Grey, 2.38 kg, With MS Office)",67990.0,85000.0,4.3,"1,382 Ratings",20% off
"Colorful Evol P15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4060) A10204900072 Gaming Laptop  (15.6 Inch, Mist White, 2.4 Kg)",79990.0,139999.0,4.3,84 Ratings,42% off
"ASUS Intel Core i5 13th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics) S5504VA-MA553WS Laptop  (15.6 inch, Cool Silver, With MS Office)",80990.0,116990.0,3.8,"(2,027)",30% off
"HP Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0515TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.59 Kg, With MS Office)",60990.0,83034.0,4.2,102 Ratings,26% off
"DELL Inspiron 5440 Intel Core i5 13th Gen 1334U - (16 GB/1 TB SSD/Windows 11 Home) Inspiron 5440 Thin and Light Laptop  (14 Inch, Ice Blue, 1.54 Kg, With MS Office)",68999.0,85000.0,4.2,15 Ratings,18% off
"ASUS Vivobook 14X OLED For Creator, Intel H Series Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/90 Hz/50 TGP) K3405VFB-KM541WS Gaming Laptop  (14 Inch, Indie Black, 1.40 Kg, With MS Office)",76999.0,110999.0,4.1,192 Ratings,30% off
"DELL 14 Intel Core 7 240H - (16 GB/512 GB SSD/Windows 11 Home) 7440 Thin and Light Laptop  (14 Inch, Ice Blue, 1.60 Kg, With MS Office)",78668.0,96890.0,4.2,(4),18% off
"Infinix ZERO BOOK Series Laptop Intel Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Home) ZL12 Business Laptop  (15.6 inch, Silver, 1.80 Kg, With MS Office)",72490.0,99990.0,3.7,28 Ratings,27% off
"Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Chromebook  (11.6 Inch, Graphite Grey, 1.23 Kg)",8499.0,16298.0,3.9,"1,357 Ratings",47% off
"Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Laptop  (11.6 inch, Steel Grey, 1.0 kg)",15990.0,33399.0,3.8,"5,717 Ratings",52% off
"DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop  (15.6 Inch, Platinum Silver, 1.62 Kg, With MS Office)",67490.0,73911.0,4.2,46 Ratings,8% off
"DELL 16 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 5640 Laptop  (16 inch, Ice Blue, 1.87 Kg, With MS Office)",63990.0,67717.0,4.5,8 Ratings,5% off
"HP Victus Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050A) 15-fa1388TX Gaming Laptop  (15.6 Inch, Performance Blue, 2.29 Kg)",69990.0,82414.0,4.2,165 Ratings,15% off
"DELL 14 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 7440 2-in-1 / Inspiron 14 2in1 2 in 1 Laptop  (14 Inch, Ice Blue, 1.71 Kg, With MS Office)",78990.0,85574.0,4.3,32 Ratings,7% off
"Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) 15Q8X10 Thin and Light Laptop  (15.3 inch, Luna Grey, 1.55 Kg, With MS Office)",48999.0,93490.0,4.2,168 Ratings,47% off
"Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) 15IRH8 Gaming Laptop  (15.6 Inch, Storm Grey, 2.4 kg, With MS Office)",69990.0,89990.0,4.2,943 Ratings,22% off
"HP Victus Intel Core i5 14th Gen 14450HX - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) 15-fa2382TX Gaming Laptop  (15.6 inch, Mica Silver, 2.31 Kg, With MS Office)",84989.0,105442.0,4.3,249 Ratings,19% off
"MSI Prestige 13 Evo AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) Prestige 13 AI Evo A1MG Thin and Light Laptop  (13.3 Inch, Stellar Gray, 0.99 Kg)",77990.0,111990.0,4,4 Ratings,30% off
"MSI Prestige 13 Evo Intel Core i5 12th Gen 1240P - (8 GB/512 GB SSD/Windows 11 Home) Prestige 13 Evo A12M-085IN Thin and Light Laptop  (13.3 Inch, Pure White, 0.99 Kg)",79990.0,106990.0,4,5 Ratings,25% off
"HP Victus 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) 15-fa1327TX Gaming Laptop  (15.6 inch, Performance Blue, 2.3 Kg, With MS Office)",65990.0,92110.0,4.4,"1,368 Ratings",28% off
"ASUS Vivobook 16X for Creator, Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) K3605ZU-RP304WS Gaming Laptop  (16 Inch, Indie Black, 1.80 Kg, With MS Office)",78500.0,101990.0,4.3,70 Ratings,23% off
"Lenovo Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) 83GS00PJIN 2 in 1 Gaming Laptop  (15.6 inch, Luna Grey, 2.38 kg, With MS Office)",67999.0,101090.0,4.8,6 Ratings,32% off
"Lenovo IdeaPad Gaming 3 AMD Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15ACH6 | 15ACH6D1 Gaming Laptop  (15.6 Inch, Shadow Black, With MS Office)",77990.0,118890.0,4.4,183 Ratings,34% off
"HP Pavilion x360 Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home) 14-ek1009TU 2 in 1 Laptop  (14 Inch, Pale Rose Gold, 1.41 Kg, With MS Office)",76990.0,92700.0,4.4,124 Ratings,16% off
"ASUS Vivobook 16X For Creator, Intel H Series Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz/50 TGP) K3605ZC-MB542WS Gaming Laptop  (16 Inch, Silver, 1.80 Kg, With MS Office)",68990.0,92990.0,4.2,681 Ratings,25% off
"DELL Inspiron Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) 5330 Thin and Light Laptop  (13.3 Inch, Platinum Silver, 1.24 Kg, With MS Office)",78990.0,116067.0,4.2,"(4,988)",31% off
"ASUS TUF Gaming A15 (2025) AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) FA506NCR-HN054W Gaming Laptop  (15.6 Inch, Graphite Black, 2.3 Kg)",64990.0,92990.0,4.2,30 Ratings,30% off
"DELL Vostro Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) Vostro 5620 Notebook  (16 Inch, Titan Gray, 1.91 Kg, With MS Office)",75990.0,90820.0,4.5,6 Ratings,16% off
"DELL Inspiron 5430 Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) IN54308TR2G001ORS1 Thin and Light Laptop  (14 inch, Platinum Silver, With MS Office)",75399.0,99000.0,4,209 Ratings,23% off
"ASUS Vivobook 16X for Creator, Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) K3605ZC-RP628WS Gaming Laptop  (16 Inch, Cool Silver, 1.80 Kg, With MS Office)",75860.0,100990.0,4.2,189 Ratings,24% off
"HP Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050A) FA1415TX Gaming Laptop  (15.6 inch, Blue, With MS Office)",75119.0,77619.0,2.5,"(4,790)",3% off
"DELL Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) D552268WIN9S Laptop  (16 inch, Titan Grey, With MS Office)",75990.0,83319.0,3.7,"(4,988)",8% off
"HP Pavilion Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 15-eg3079TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.75 Kg, With MS Office)",65990.0,83705.0,4.3,"1,628 Ratings",21% off
"HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/Intel Integrated NVIDIA® GeForce RTX™ 2050 Laptop GPU (4 GB GDDR6 dedicated)) 15-fa1124TX Gaming Laptop  (15.6 inch, Black)",64990.0,78500.0,3.1,7 Ratings,17% off
"Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Chromebook  (11.6 Inch, Graphite Grey, 1.23 Kg)",8499.0,16298.0,3.9,"1,357 Ratings",47% off
"Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Laptop  (11.6 inch, Steel Grey, 1.0 kg)",15990.0,33399.0,3.8,"5,717 Ratings",52% off
"HP Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) 15-ew0047TU Thin and Light Laptop  (15.6 Inch, Nightfall Black, 1.70 Kg, With MS Office)",69999.0,119238.0,3.7,6 Ratings,41% off
"Acer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) ANV15-51- 55B9/ ANV15-51-578G Gaming Laptop  (15.6 Inch, Shale Black, 2.1 Kg)",79190.0,99990.0,4.3,388 Ratings,20% off
"Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) 15Q8X10 Thin and Light Laptop  (15.3 inch, Luna Grey, 1.55 Kg, With MS Office)",48999.0,93490.0,4.2,168 Ratings,47% off
"Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) LOQ 15IAX9D1 Gaming Laptop  (15.6 inch, Luna Grey, 2.38 kg)",57749.0,80090.0,4.3,"1,941 Ratings",27% off
"Lenovo LOQ Intel Core i7 13th Gen 13650HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) 15IRX9 Gaming Laptop  (15.6 inch, Luna Grey, 2.38 kg, With MS Office)",97990.0,123090.0,4.2,180 Ratings,20% off
"Lenovo IdeaPad Slim 5 WUXGA IPS Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) 16IMH9 Thin and Light Laptop  (16 inch, Cloud Grey, 1.89 Kg, With MS Office)",79890.0,111190.0,4,490 Ratings,28% off
"Apple MacBook AIR Apple M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY43HN/A  (13.6 Inch, Midnight, 1.24 Kg)",79990.0,109900.0,4.7,"1,885 Ratings",27% off
