title,current price,original price,rating,reviews,off percentage
"        ASUS TUF A15, AMD Ryzen 7 7445HS,Gaming Laptop(RTX 3050-4GB/75W TGP/16GB RAM/1TB SSD/FHD/15.6""/144Hz/Backlit Keyboard/48Whrs/M365 Basic (1Year)*/Office Home 2024/Graphite Black/2.3 Kg)FA506NCG-HN251WS       ","70,990.",89990.0,4.1 out of 5 stars,489 ratings,-21%
"        HP Smartchoice Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fa2309TX, RGB Gaming Laptop       ","1,02,990.",124319.0,3.5 out of 5 stars,68 ratings,-17%
"        Lenovo Yoga Slim 7, Intel Core Ultra 5 125H, 16GB RAM, 512GB SSD, WUXGA-OLED 14""(35.5cm), Windows 11, Office Home 2024, Grey, 1.39Kg, 83CV0085IN, 400Nits, 2Wx4 Speakers, 1Yr ADP Free, AI PC       ","74,990.",110490.0,4.2 out of 5 stars,44 ratings,-32%
"        ASUS TUF Gaming A15, AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W       ","62,990.",83990.0,4.1 out of 5 stars,489 ratings,-25%
"        ASUS Vivobook 15,13th Gen,Intel Core i5-13420H(Intel UHD iGPU/16GB RAM/1TB SSD/FHD/15.6""/60Hz/Backlit Keyboard/Windows 11/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.70 kg) X1502VA-BQ1297WS       ","52,990.",75990.0,3.9 out of 5 stars,21 ratings,-30%
"        ASUS Vivobook 16X,Smartchoice,Intel Core i7-13620H,Creator/Gaming Laptop(RTX 3050-4GB/16GB RAM/512GB SSD/FHD+/16""/144Hz/M365 Basic (1Year)*/Office Home 2024/Cool Silver/1.8 Kg) K3605VC-RP492WS       ","68,990.",102990.0,3.3 out of 5 stars,12 ratings,-33%
"        HP Smartchoice Victus, 13th Gen i7-13620H, 6GB RTX 4050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2100/03/04tx, Gaming Laptop       ","81,990.",100585.0,3.5 out of 5 stars,68 ratings,-18%
"        Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Space Grey       ","1,44,990.",174900.0,4.6 out of 5 stars,50 ratings,-17%
"        Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Silver       ","96,990.",99900.0,4.6 out of 5 stars,620 ratings,-3%
"        HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3118AX, Backlit, DTS Audio, Gaming Laptop       ","79,990.",95746.0,3.8 out of 5 stars,232 ratings,-16%
